timesteps,ep_rew_mean,ep_len_mean
6400,1.0,640.0
7040,1.0,640.0
7680,1.0,640.0
8320,1.0,640.0
8960,1.0,640.0
9600,1.0,640.0
10240,1.0,640.0
10880,1.0,640.0
11520,1.0,640.0
12160,1.0,640.0
12800,1.0,640.0
13440,1.0,640.0
14080,1.1,640.0
14720,1.2,640.0
15360,1.3,640.0
16000,1.3,640.0
16640,1.3,640.0
17280,1.3,640.0
17920,1.3,640.0
18560,1.4,640.0
19200,1.4,640.0
19840,1.7,640.0
20480,1.7,640.0
21120,1.6,640.0
21760,1.6,640.0
22400,1.6,640.0
23040,1.6,640.0
23680,1.6,640.0
24320,1.6,640.0
24960,1.5,640.0
25600,1.6,640.0
26240,1.3,640.0
26880,1.2,640.0
27520,1.2,640.0
28160,1.4,640.0
28800,1.6,640.0
29440,3.0,640.0
30080,3.0,640.0
30720,3.3,640.0
31360,3.3,640.0
32000,3.3,640.0
32640,3.3,640.0
33280,3.9,640.0
33920,3.9,640.0
34560,3.6,640.0
35200,3.5,640.0
35482,2.3,604.2
36122,2.6,604.2
36762,2.3,604.2
37402,4.7,604.2
38042,4.7,604.2
38682,4.9,604.2
39322,4.4,604.2
39962,4.5,604.2
40602,4.6,604.2
41242,5.0,604.2
41727,6.4,624.5
42077,6.5,595.5
42717,6.6,595.5
43357,4.2,595.5
43997,4.2,595.5
44637,4.0,595.5
45277,4.1,595.5
45917,5.0,595.5
46557,5.0,595.5
47197,4.5,595.5
47837,10.3,611.0
48477,13.8,640.0
48824,14.1,610.7
49464,14.2,610.7
50104,14.1,610.7
50744,15.0,610.7
51384,14.9,610.7
52024,24.3,610.7
52664,25.0,610.7
53304,25.2,610.7
53944,28.2,610.7
54584,24.3,610.7
55201,24.4,637.7
55662,24.6,619.8
56302,25.0,619.8
56942,25.0,619.8
57582,25.0,619.8
58222,27.8,619.8
58862,27.3,619.8
59502,31.9,619.8
60142,22.5,619.8
60782,29.4,619.8
61422,29.1,622.1
61880,29.4,621.8
62520,29.5,621.8
62796,32.6,585.4
63436,33.0,585.4
64076,22.5,585.4
64716,22.2,585.4
65356,17.5,585.4
65996,19.1,585.4
66636,21.0,585.4
67276,33.7,585.4
67916,35.7,603.6
68556,35.5,603.6
68728,32.1,593.2
69368,34.8,593.2
70008,32.5,593.2
70648,41.4,593.2
71288,41.3,593.2
71928,39.0,593.2
72568,32.7,593.2
73208,19.9,593.2
73848,17.2,593.2
74488,17.2,593.2
75128,16.9,640.0
75768,13.8,640.0
76408,17.7,640.0
77048,8.9,640.0
77688,9.0,640.0
78328,9.1,640.0
78859,12.5,629.1
79499,12.6,629.1
80139,13.0,629.1
80779,13.2,629.1
81412,15.4,628.4
82052,15.7,628.4
82692,18.4,628.4
83332,18.5,628.4
83972,19.9,628.4
84612,20.0,628.4
85252,33.9,639.3
85892,53.7,639.3
86532,63.7,639.3
87172,75.6,639.3
87812,73.3,640.0
88452,84.2,640.0
89092,77.4,640.0
89732,79.3,640.0
90372,78.2,640.0
91012,80.4,640.0
91244,61.9,599.2
91884,47.6,599.2
92524,63.2,599.2
93164,59.8,599.2
93804,86.7,599.2
94444,76.8,599.2
94628,79.2,553.6
95268,106.7,553.6
95908,135.8,553.6
96548,162.1,553.6
97188,186.3,594.4
97828,188.7,594.4
98160,163.6,563.6
98800,156.7,563.6
99440,130.2,563.6
100080,128.7,563.6
