timesteps,ep_rew_mean,ep_len_mean
6400,0.0774,640.0
7040,0.0943,640.0
7680,0.0723,640.0
8320,0.0912,640.0
8960,0.1112,640.0
9600,0.135,640.0
10240,0.1632,640.0
10880,0.245,640.0
11520,0.3125,640.0
12041,0.473,628.1
12681,0.4493,628.1
13321,0.4786,628.1
13941,0.6631,626.1
14275,0.7431,595.5
14521,0.8843,556.1
14801,1.0276,520.1
15441,1.0426,520.1
16076,1.1751,519.6
16401,1.2858,488.1
16756,1.2892,471.5
17396,1.3008,471.5
17639,1.4414,431.8
18210,1.4263,426.9
18714,1.5242,443.9
18788,1.5266,426.7
19428,1.3741,462.7
20068,1.3604,462.7
20708,1.1661,463.2
21348,0.9933,494.7
21988,0.8452,523.2
22628,0.8341,523.2
22954,0.8272,531.5
23572,0.8272,536.2
24212,0.6899,549.8
24852,0.5452,606.4
25492,0.543,606.4
26132,0.5227,606.4
26772,0.5533,606.4
26971,0.732,562.3
27142,0.8169,515.4
27732,0.9204,510.4
27900,0.8428,494.6
28160,0.8462,458.8
28800,0.8486,458.8
28922,0.9908,407.0
28993,1.0901,350.1
29225,1.2633,309.3
29508,1.4104,273.6
30148,1.2798,317.7
30335,1.343,319.3
30773,1.3919,304.1
30979,1.4822,307.9
31619,1.3873,345.9
31828,1.5096,302.8
32228,1.5096,330.6
32296,1.5649,330.3
32345,1.5751,312.0
32985,1.4463,347.7
33121,1.5827,297.3
33617,1.5895,328.2
33988,1.6011,321.5
34026,1.5778,304.7
34104,1.6669,248.5
34454,1.6844,262.6
34810,1.7026,258.2
34867,1.7051,257.1
35507,1.5677,316.2
35793,1.7068,280.8
35877,1.7078,275.6
36316,1.6952,269.9
36832,1.6743,284.4
37107,1.6189,308.1
37747,1.4874,364.3
37858,1.4723,340.4
38417,1.4716,360.7
38523,1.4764,365.6
38901,1.607,339.4
39541,1.4581,374.8
39945,1.3784,406.8
40432,1.33,411.6
40622,1.3383,379.0
40669,1.4008,356.2
40811,1.5382,306.4
41018,1.5474,316.0
41658,1.4164,324.1
41697,1.4092,317.4
41794,1.4058,289.3
42251,1.5372,271.0
42396,1.6101,245.1
42428,1.6818,199.6
42616,1.6828,199.4
42994,1.6814,232.5
43064,1.6863,225.3
43100,1.6746,208.2
43332,1.7905,167.4
43450,1.7977,175.3
43579,1.7953,178.5
43660,1.8079,140.9
43708,1.7537,131.2
43840,1.7485,141.2
44178,1.7495,156.2
44207,1.7437,121.3
44407,1.7388,134.3
44486,1.7388,138.6
45126,1.5766,179.4
45167,1.582,171.7
45253,1.5892,167.4
45309,1.579,164.9
45645,1.6347,193.7
45737,1.6281,189.7
45796,1.6155,161.8
46083,1.6281,187.6
46187,1.6339,178.0
46230,1.6339,174.4
46373,1.7962,124.7
46423,1.7835,125.6
46469,1.7822,121.6
46533,1.7914,122.4
46801,1.8075,115.6
46955,1.7983,121.8
47401,1.7983,160.5
47454,1.7929,137.1
47598,1.787,141.1
47628,1.7929,139.8
47694,1.8031,132.1
47798,1.8089,137.5
47867,1.827,139.8
47928,1.8328,139.5
48080,1.8212,127.9
48161,1.8304,120.6
48216,1.8304,81.5
48259,1.8407,80.5
48291,1.8465,69.3
48421,1.8524,79.3
48499,1.847,80.5
48631,1.8411,83.3
48716,1.8231,84.9
48857,1.8114,92.9
48983,1.7997,90.3
49019,1.7939,85.8
49324,1.7963,110.8
49337,1.7846,107.8
49941,1.773,165.0
50108,1.773,168.7
50173,1.7658,167.4
50245,1.7833,161.4
50371,1.8013,165.5
50401,1.8188,154.4
50459,1.826,147.6
50550,1.8274,153.1
