timesteps,ep_rew_mean,ep_len_mean
2498,0.1,249.8
2754,0.1,249.8
3010,0.1,249.8
3266,0.1,249.8
3428,0.1,246.6
3684,0.1,246.6
3940,0.1,246.6
3989,0.2,225.9
4245,0.2,225.9
4418,0.3,217.6
4575,0.4,207.7
4626,0.5,187.2
4882,0.5,187.2
5017,0.6,175.1
5273,0.5,184.5
5529,0.5,184.5
5657,0.6,171.7
5913,0.5,192.4
6169,0.5,192.4
6331,0.5,191.3
6516,0.5,194.1
6772,0.4,214.6
7028,0.4,214.6
7284,0.3,226.7
7540,0.3,226.7
7760,0.4,223.1
8016,0.3,235.9
8272,0.3,235.9
8528,0.3,235.9
8736,0.3,240.5
8992,0.2,247.6
9014,0.3,224.2
9270,0.3,224.2
9494,0.4,221.0
9597,0.5,205.7
9853,0.4,209.3
9978,0.5,196.2
10048,0.6,177.6
10304,0.6,177.6
10560,0.5,182.4
10617,0.6,162.5
10648,0.6,163.4
10904,0.6,163.4
11160,0.5,166.6
11232,0.5,163.5
11312,0.6,145.9
11398,0.6,142.0
11654,0.5,160.6
11910,0.5,160.6
11993,0.6,143.3
12055,0.6,143.8
12207,0.6,155.9
12299,0.7,139.5
12398,0.8,123.8
12460,0.8,122.8
12484,0.8,117.2
12539,0.8,114.1
12666,0.9,101.2
12698,1.0,78.8
12756,1.0,76.3
12808,1.0,75.3
12862,1.0,65.5
12904,1.0,60.5
12966,1.0,56.8
13013,1.0,55.3
13068,1.0,58.4
13108,1.0,56.9
13242,1.0,57.6
13303,1.0,60.5
13344,1.0,58.8
13473,1.0,66.5
13502,1.0,64.0
13548,1.0,64.4
13605,1.0,63.9
13672,1.0,65.9
13734,1.0,66.6
13815,1.0,70.7
13888,1.0,64.6
14079,1.0,77.6
14116,1.0,77.2
14159,1.0,68.6
14200,1.0,69.8
14242,1.0,69.4
14353,1.0,74.8
14447,1.0,77.5
14467,1.0,73.3
14501,1.0,68.6
14553,1.0,66.5
14577,1.0,49.8
14607,1.0,49.1
14632,1.0,47.3
14731,1.0,53.1
14797,1.0,55.5
14875,1.0,52.2
14930,1.0,48.3
15055,1.0,58.8
15092,1.0,59.1
15185,1.0,63.2
15263,1.0,68.6
15297,1.0,69.0
15318,1.0,68.6
15428,1.0,69.7
15468,1.0,67.1
15519,1.0,64.4
15569,1.0,63.9
15662,1.0,60.7
15700,1.0,60.8
15722,1.0,53.7
15757,1.0,49.4
15803,1.0,50.6
15821,1.0,50.3
15851,1.0,42.3
15946,1.0,47.8
15997,1.0,47.8
16048,1.0,47.9
16089,1.0,42.7
16116,1.0,41.6
16141,1.0,41.9
16170,1.0,41.3
16277,1.0,47.4
16303,1.0,48.2
16336,1.0,48.5
16377,1.0,43.1
16407,1.0,41.0
16434,1.0,38.6
16467,1.0,37.8
16491,1.0,37.5
16520,1.0,37.9
16546,1.0,37.6
16571,1.0,29.4
16606,1.0,30.3
16634,1.0,29.8
16682,1.0,30.5
16716,1.0,30.9
16764,1.0,33.0
16803,1.0,33.6
16855,1.0,36.4
16879,1.0,35.9
16933,1.0,38.7
16961,1.0,39.0
16999,1.0,39.3
17039,1.0,40.5
17072,1.0,39.0
17101,1.0,38.5
17128,1.0,36.4
17163,1.0,36.0
17192,1.0,33.7
17247,1.0,36.8
17266,1.0,33.3
17323,1.0,36.2
17348,1.0,34.9
17381,1.0,34.2
17436,1.0,36.4
17473,1.0,37.2
17501,1.0,37.3
17546,1.0,38.3
17579,1.0,38.7
17619,1.0,37.2
17656,1.0,39.0
17695,1.0,37.2
17717,1.0,36.9
17741,1.0,36.0
17773,1.0,33.7
17792,1.0,31.9
17815,1.0,31.4
17845,1.0,29.9
17864,1.0,28.5
17899,1.0,28.0
17931,1.0,27.5
17961,1.0,26.6
17981,1.0,26.4
18107,1.0,36.6
18125,1.0,35.2
18155,1.0,36.3
18186,1.0,37.1
18214,1.0,36.9
18234,1.0,37.0
18262,1.0,36.3
18284,1.0,35.3
18308,1.0,34.7
18356,1.0,37.5
18439,1.0,33.2
18459,1.0,33.4
18476,1.0,32.1
18508,1.0,32.2
18538,1.0,32.4
18564,1.0,33.0
18588,1.0,32.6
18609,1.0,32.5
18649,1.0,34.1
18665,1.0,30.9
18693,1.0,25.4
18707,1.0,24.8
18725,1.0,24.9
18741,1.0,23.3
18768,1.0,23.0
18792,1.0,22.8
18810,1.0,22.2
18831,1.0,22.2
18856,1.0,20.7
18877,1.0,21.2
18919,1.0,22.6
18943,1.0,23.6
18959,1.0,23.4
18999,1.0,25.8
19033,1.0,26.5
19062,1.0,27.0
19084,1.0,27.4
19107,1.0,27.6
19139,1.0,28.3
19177,1.0,30.0
19195,1.0,27.6
19217,1.0,27.4
19253,1.0,29.4
19273,1.0,27.4
19291,1.0,25.8
19336,1.0,27.4
19353,1.0,26.9
19386,1.0,27.9
19413,1.0,27.4
19427,1.0,25.0
19468,1.0,27.3
19489,1.0,27.2
19507,1.0,25.4
19549,1.0,27.6
19570,1.0,27.9
19603,1.0,26.7
19655,1.0,30.2
19673,1.0,28.7
19693,1.0,28.0
19728,1.0,30.1
19747,1.0,27.9
19766,1.0,27.7
19795,1.0,28.8
19817,1.0,26.8
19834,1.0,26.4
19866,1.0,26.3
19888,1.0,23.3
19916,1.0,24.3
19939,1.0,24.6
19959,1.0,23.1
19978,1.0,23.1
20000,1.0,23.4
20021,1.0,22.6
20055,1.0,23.8
20073,1.0,23.9
20113,1.0,24.7
20132,1.0,24.4
20154,1.0,23.8
20177,1.0,23.8
20207,1.0,24.8
20233,1.0,25.5
20255,1.0,25.5
20274,1.0,25.3
20295,1.0,24.0
20313,1.0,24.0
20328,1.0,21.5
