timesteps,ep_rew_mean,ep_len_mean
2438,0.8332,243.8
2694,0.8155,243.8
2950,0.8655,243.8
3206,0.9096,243.8
3462,0.9568,243.8
3718,0.7839,249.9
3974,0.8037,249.9
4230,0.7791,249.9
4486,0.7791,249.9
4742,0.6261,256.0
4998,0.5907,256.0
5070,0.7791,237.6
5176,0.9541,222.6
5312,1.11,210.6
5441,1.2659,197.9
5697,1.2357,197.9
5821,1.3887,184.7
6077,1.3639,184.7
6333,1.41,184.7
6578,1.563,183.6
6834,1.5602,183.6
7090,1.3873,202.0
7219,1.3873,204.3
7475,1.2342,216.3
7731,1.0458,229.0
7976,1.2489,227.9
8119,1.2489,229.8
8375,1.2489,229.8
8476,1.3666,214.3
8732,1.1635,215.4
8785,1.3194,195.1
9041,1.2791,195.1
9225,1.2791,200.6
9481,1.2071,200.6
9737,1.2054,200.6
9867,1.2054,189.1
10073,1.2054,195.4
10268,1.4186,189.3
10420,1.4186,194.4
10666,1.6217,193.4
10737,1.6217,195.2
10967,1.8349,192.6
11004,1.8349,177.9
11058,2.0599,157.7
11166,2.25,142.9
11422,2.0368,155.5
11678,1.9015,160.5
11740,1.9015,147.2
11905,1.9015,148.5
12161,1.6883,149.5
12302,1.6883,156.5
12367,1.6883,140.0
12477,1.6883,147.3
12525,1.6883,146.7
12781,1.4999,161.5
12868,1.7131,144.6
13070,1.8484,139.2
13141,1.8484,140.1
13397,1.6694,149.2
13520,1.8826,135.9
13608,1.8826,130.6
13679,1.8826,131.2
13693,1.8826,121.6
13792,1.8826,126.7
13871,2.0709,109.0
14005,2.0709,113.7
14132,2.0709,106.2
14388,2.0709,124.7
14539,2.25,114.2
14625,2.25,110.5
14768,2.25,116.0
14870,2.25,119.1
14894,2.25,120.1
14967,2.25,117.5
15188,2.25,131.7
15258,2.25,125.3
15290,2.25,115.8
15317,2.25,92.9
15370,2.25,83.1
15398,2.25,77.3
15450,2.25,68.2
15525,2.25,65.5
15595,2.25,70.1
15637,2.25,67.0
15724,2.25,53.6
15830,2.25,57.2
15857,2.25,56.7
15890,2.25,57.3
15950,2.25,58.0
16005,2.25,60.7
16030,2.25,58.0
16069,2.25,54.4
16136,2.25,54.1
16212,2.25,57.5
16291,2.25,56.7
16339,2.25,50.9
16387,2.25,53.0
16445,2.25,55.5
16466,2.25,51.6
16539,2.25,53.4
16622,2.25,59.2
16652,2.25,58.3
16716,2.25,58.0
16737,2.25,52.5
16794,2.25,50.3
16885,2.25,54.6
16913,2.25,52.6
16931,2.25,48.6
17003,2.25,53.7
17090,2.25,55.1
17137,2.25,51.5
17171,2.25,51.9
17260,2.25,54.4
17351,2.25,61.4
17381,2.25,58.7
17403,2.25,51.8
17429,2.25,51.6
17520,2.25,58.9
17566,2.25,56.3
17583,2.25,49.3
17676,2.25,53.9
17695,2.25,52.4
17836,2.25,57.6
17875,2.25,52.4
17893,2.25,51.2
17928,2.25,52.5
18044,2.25,61.5
18069,2.25,54.9
18325,2.0548,75.9
18382,2.0548,79.9
18439,2.0548,76.3
18464,2.0548,76.9
18511,2.0548,67.5
18538,2.0548,66.3
18599,2.0548,70.6
18660,2.0548,73.2
18737,2.0548,69.3
18768,2.0548,69.9
18791,2.25,46.6
18838,2.25,45.6
18889,2.25,45.0
19019,2.25,55.5
19057,2.25,54.6
19085,2.25,54.7
19110,2.25,51.1
19137,2.25,47.7
19156,2.25,41.9
19240,2.25,47.2
19402,2.25,61.1
19466,2.25,62.8
19484,2.25,59.5
19505,2.25,48.6
19526,2.25,46.9
19543,2.25,45.8
19558,2.25,44.8
19609,2.25,47.2
19640,2.25,48.4
19701,2.25,46.1
19734,2.25,33.2
19805,2.25,33.9
19882,2.25,39.8
19898,2.25,39.3
19917,2.25,39.1
19966,2.25,42.3
19987,2.25,42.9
20044,2.25,43.5
20151,2.25,51.1
20178,2.25,47.7
20194,2.25,46.0
20223,2.25,41.8
20287,2.25,40.5
20326,2.25,42.8
20363,2.25,44.6
20422,2.25,45.6
20448,2.25,46.1
20537,2.25,49.3
20555,2.25,40.4
20601,2.25,42.3
20627,2.25,43.3
20655,2.25,43.2
20671,2.25,38.4
20705,2.25,37.9
20730,2.25,36.7
20805,2.25,38.3
20832,2.25,38.4
20895,2.25,35.8
20946,2.25,39.1
20981,2.25,38.0
21005,2.25,37.8
21042,2.25,38.7
21074,2.25,40.3
21100,2.25,39.5
21116,2.25,38.6
21147,2.25,34.2
21260,2.25,42.8
21309,2.25,41.4
21370,2.25,42.4
21434,2.25,45.3
21457,2.25,45.2
21494,2.25,45.2
21561,2.25,48.7
21588,2.25,48.8
21646,2.25,53.0
21666,2.25,51.9
21694,2.25,43.4
21720,2.25,41.1
21743,2.25,37.3
21766,2.25,33.2
21800,2.25,34.3
21822,2.25,32.8
21842,2.25,28.1
21861,2.25,27.3
21876,2.25,23.0
21898,2.25,23.2
21917,2.25,22.3
21943,2.25,22.3
21963,2.25,22.0
21984,2.25,21.8
22001,2.25,20.1
22058,2.25,23.6
22095,2.25,25.3
22118,2.25,25.7
22176,2.25,30.0
22235,2.25,33.7
22339,2.25,42.2
22370,2.25,42.7
22388,2.25,42.5
22415,2.25,43.1
22538,2.25,53.7
22589,2.25,53.1
22603,2.25,50.8
22712,2.25,59.4
22756,2.25,58.0
22774,2.25,53.9
22800,2.25,46.1
22854,2.25,48.4
22875,2.25,48.7
22917,2.25,50.2
22936,2.25,39.8
22949,2.25,36.0
23043,2.25,44.0
23056,2.25,34.4
23073,2.25,31.7
23093,2.25,31.9
23114,2.25,31.4
