timesteps,ep_rew_mean,ep_len_mean
401,-0.6,40.1
410,-0.6,40.8
455,-0.4,45.2
458,-0.5,35.5
503,-0.5,39.8
582,-0.6,37.7
612,-0.6,40.6
627,-0.6,32.1
639,-0.6,31.4
739,-0.7,35.8
839,-0.6,43.8
847,-0.6,43.7
851,-0.8,39.6
951,-0.7,49.3
1032,-0.7,52.9
1110,-0.7,52.8
1210,-0.6,59.8
1219,-0.6,59.2
1263,-0.6,62.4
1349,-0.7,61.0
1437,-0.6,59.8
1438,-0.6,59.1
1446,-0.6,59.5
1447,-0.7,49.6
1489,-0.7,45.7
1505,-0.7,39.5
1506,-0.8,29.6
1513,-0.8,29.4
1515,-0.8,25.2
1554,-0.8,20.5
1633,-1.0,19.6
1683,-1.0,24.5
1700,-1.0,25.4
1702,-1.0,25.5
1704,-1.0,21.5
1771,-0.8,26.6
1817,-0.6,31.1
1865,-0.6,35.2
1866,-0.6,35.1
1869,-0.6,31.5
1887,-0.6,25.4
1946,-0.6,26.3
2046,-0.5,34.6
2064,-0.3,36.2
2152,-0.3,44.8
2174,-0.3,40.3
2176,-0.5,35.9
2273,-0.5,40.8
2372,-0.3,50.6
2381,-0.3,51.2
2481,-0.2,59.4
2549,0.0,60.3
2615,-0.1,56.9
2715,-0.2,65.1
2812,0.0,66.0
2912,-0.1,73.8
3012,0.0,83.6
3091,0.0,81.8
3191,-0.1,81.9
3251,-0.1,87.0
3277,0.0,79.6
3284,-0.2,73.5
3333,-0.2,71.8
3360,-0.3,64.5
3460,-0.4,64.8
3466,-0.5,55.4
3483,-0.6,47.1
3583,-0.5,49.2
3683,-0.5,49.2
3722,-0.5,47.1
3822,-0.6,54.5
3922,-0.5,63.8
4022,-0.4,68.9
4122,-0.3,76.2
4222,-0.3,76.2
4322,-0.2,85.6
4422,-0.1,93.9
4423,-0.2,84.0
4501,-0.3,81.8
4559,-0.1,83.7
4642,-0.2,82.0
4679,-0.1,75.7
4774,-0.2,75.2
4874,-0.2,75.2
4914,-0.3,69.2
4915,-0.4,59.3
5015,-0.4,59.3
5075,-0.4,65.2
5175,-0.3,67.4
5275,-0.4,71.6
5375,-0.3,73.3
5475,-0.4,79.6
5575,-0.3,80.1
5576,-0.4,70.2
5676,-0.3,76.2
5677,-0.3,76.2
5777,-0.3,76.2
5778,-0.3,70.3
5813,-0.4,63.8
5854,-0.3,57.9
5954,-0.3,57.9
5990,-0.4,51.5
6006,-0.5,43.1
6106,-0.4,53.0
6190,-0.3,51.4
6290,-0.2,61.3
6390,-0.2,61.3
6409,-0.2,63.1
6509,-0.1,69.6
6609,-0.2,75.5
6709,-0.2,75.5
6710,-0.2,72.0
6772,0.0,76.6
6799,0.1,69.3
6899,0.0,70.9
6954,0.1,66.4
7054,0.1,66.4
7154,0.2,74.5
7254,0.2,74.5
7354,0.2,74.5
7454,0.2,74.5
7497,0.2,78.7
7597,0.1,82.5
7697,0.0,89.8
7698,-0.1,79.9
7798,-0.2,84.4
7883,-0.1,82.9
7983,-0.1,82.9
8081,-0.2,82.7
8174,-0.3,82.0
8190,-0.4,73.6
8290,-0.3,79.3
8390,-0.3,79.3
8489,-0.4,79.2
8546,-0.2,84.8
8646,-0.2,84.8
8746,-0.3,86.3
8846,-0.3,86.3
8906,-0.3,82.5
8908,-0.3,73.4
9008,-0.2,81.8
9108,-0.2,81.8
9208,-0.2,81.8
9308,-0.1,81.9
9408,-0.2,86.2
9508,-0.2,86.2
9608,-0.2,86.2
9708,-0.2,86.2
9729,0.0,82.3
9829,0.1,92.1
9929,0.1,92.1
10029,0.1,92.1
10129,0.1,92.1
10229,0.1,92.1
10329,0.1,92.1
10429,0.1,92.1
10529,0.1,92.1
10629,0.1,92.1
10729,0.0,100.0
10829,0.0,100.0
10929,0.0,100.0
11029,0.0,100.0
11129,0.0,100.0
11153,0.1,92.4
11177,0.2,84.8
11261,0.1,83.2
11287,0.2,75.8
11312,0.1,68.3
11339,0.2,61.0
11439,0.2,61.0
11521,0.3,59.2
11536,0.4,50.7
11636,0.4,50.7
11659,0.4,50.6
11759,0.3,58.2
11810,0.3,54.9
11910,0.2,62.3
11999,0.4,68.7
12068,0.4,72.9
12093,0.5,65.4
12112,0.5,59.1
12212,0.4,67.6
12312,0.4,67.6
12412,0.3,75.3
12424,0.4,66.5
12524,0.5,71.4
12624,0.5,71.4
12709,0.5,71.0
12783,0.5,71.5
12883,0.4,79.0
12930,0.4,81.8
13030,0.4,81.8
13070,0.5,75.8
13098,0.6,68.6
13129,0.6,70.5
13229,0.6,70.5
13271,0.7,64.7
13371,0.6,66.2
13471,0.5,68.8
13571,0.5,68.8
13592,0.5,66.2
13692,0.5,66.2
13792,0.4,72.2
13892,0.3,79.4
13913,0.3,78.4
14013,0.3,78.4
14113,0.2,84.2
14213,0.2,84.2
14271,0.3,80.0
14371,0.3,80.0
14432,0.3,84.0
14451,0.2,75.9
14551,0.2,75.9
14612,0.3,72.0
14636,0.3,72.3
14689,0.4,67.6
14691,0.3,57.8
14697,0.4,48.4
14730,0.4,45.9
14751,0.3,38.0
14851,0.2,41.9
14876,0.4,42.5
14893,0.5,34.2
14993,0.4,38.1
15019,0.4,38.3
15079,0.4,39.0
15179,0.5,48.8
15196,0.5,49.9
15296,0.4,56.6
15316,0.6,56.5
15416,0.6,56.5
15516,0.5,64.0
15581,0.3,68.8
15646,0.2,65.3
15684,0.2,66.5
15705,0.0,62.6
15805,0.0,62.6
15905,-0.1,70.9
16000,0.0,70.4
16001,-0.2,68.5
16033,-0.1,61.7
16066,0.0,55.0
16108,0.2,52.7
16140,0.4,49.4
16240,0.3,55.6
16261,0.5,55.6
16322,0.6,51.7
16382,0.7,47.7
16434,0.7,43.4
16463,0.9,46.2
16474,0.9,44.1
16506,0.9,44.0
16606,0.8,49.8
16635,0.8,49.5
16681,0.9,44.1
16732,0.9,47.1
16746,0.9,42.4
16846,0.8,46.4
16946,0.7,51.2
17046,0.6,58.3
17121,0.6,64.7
17221,0.5,71.5
17321,0.5,71.5
17357,0.5,72.2
17457,0.4,77.6
17487,0.4,75.5
17587,0.3,84.1
17687,0.3,84.1
17694,0.4,74.8
17794,0.4,74.8
17809,0.4,68.8
17840,0.5,61.9
17940,0.5,61.9
17952,0.5,59.5
18052,0.5,59.5
18085,0.5,59.8
18096,0.6,50.9
18121,0.7,43.4
18179,0.7,48.5
18193,0.8,39.9
18225,0.8,41.6
18325,0.7,48.5
18365,0.8,42.5
18407,0.8,45.5
18495,0.9,44.3
18507,0.9,42.2
18531,0.9,43.5
18550,0.9,42.9
18559,0.9,38.0
18569,0.9,37.6
18574,0.9,34.9
18622,1.0,29.7
18646,0.8,28.1
18746,0.7,33.9
18846,0.6,35.1
18885,0.6,37.8
18906,0.6,37.5
18951,0.6,40.1
18966,0.6,40.7
18981,0.6,41.2
18992,0.6,41.8
19008,0.6,38.6
19032,0.8,38.6
19059,0.7,31.3
19067,0.8,22.1
19083,0.8,19.8
19101,0.6,19.5
19133,0.6,18.2
19166,0.6,20.0
19194,0.6,21.3
19294,0.5,30.2
19394,0.4,38.6
19456,0.4,42.4
19480,0.6,42.1
19488,0.6,42.1
19515,0.6,43.2
19563,0.8,46.2
19663,0.7,53.0
19682,0.7,51.6
19689,0.7,49.5
19720,0.8,42.6
19770,0.9,37.6
19814,0.9,35.8
19853,0.9,37.3
19876,0.9,38.8
19898,0.9,38.3
19948,0.9,38.5
19960,1.0,29.7
20016,1.0,33.4
20053,1.0,36.4
20101,1.0,38.1
20129,1.0,35.9
20142,1.0,32.8
20242,0.9,38.9
20250,0.9,37.4
20307,0.9,40.9
20397,0.9,44.9
20430,0.9,47.0
20447,0.9,43.1
20487,0.9,43.4
20504,0.9,40.3
20514,0.9,38.5
20528,0.9,38.6
20535,1.0,29.3
20551,1.0,30.1
20597,1.0,29.0
20618,1.0,22.1
20626,1.0,19.6
20651,1.0,20.4
20661,1.0,17.4
20668,1.0,16.4
20678,1.0,16.4
20695,1.0,16.7
20733,1.0,19.8
20748,1.0,19.7
20757,1.0,16.0
20767,1.0,14.9
20779,1.0,15.3
20785,1.0,13.4
20824,1.0,16.3
20849,1.0,18.1
20887,1.0,20.9
20901,1.0,20.6
20908,1.0,17.5
20930,1.0,18.2
20946,1.0,18.9
20956,1.0,18.9
20967,1.0,18.8
20981,1.0,19.6
20992,1.0,16.8
21002,1.0,15.3
21015,1.0,12.8
21037,1.0,13.6
21065,1.0,15.7
21079,1.0,14.9
21095,1.0,14.9
21111,1.0,15.5
21126,1.0,15.9
21160,1.0,17.9
21165,1.0,17.3
21178,1.0,17.6
21221,1.0,20.6
21229,1.0,19.2
21245,0.8,18.0
21345,0.7,26.6
21353,0.7,25.8
21369,0.7,25.8
21389,0.7,26.3
21404,0.7,24.4
21418,0.7,25.3
21435,0.7,25.7
21447,0.7,22.6
21458,0.7,22.9
21472,0.9,22.7
21542,1.0,19.7
21553,1.0,20.0
21579,0.8,21.0
21608,0.8,21.9
21624,0.8,22.0
21648,0.8,23.0
21676,0.8,24.1
21681,0.8,23.4
21729,0.8,27.1
21740,0.8,26.8
21772,0.8,23.0
21779,0.8,22.6
21837,0.8,25.8
21859,0.8,25.1
21875,0.8,25.1
21908,0.8,26.0
21932,0.8,25.6
21958,0.8,27.7
21967,0.8,23.8
21978,0.8,23.8
21987,0.8,21.5
21997,0.8,21.8
22006,1.0,16.9
22071,1.0,21.2
22080,1.0,20.5
22090,1.0,18.2
22099,1.0,16.7
22138,1.0,18.0
22150,1.0,18.3
22185,1.0,20.7
22201,1.0,21.4
22217,1.0,22.0
22238,1.0,23.2
22247,1.0,17.6
22254,0.8,17.4
22331,0.8,24.1
22344,0.8,24.5
22363,0.8,22.5
22366,0.6,21.6
22400,0.6,21.5
22480,0.6,27.9
22535,0.6,31.8
22570,0.6,33.2
22601,0.6,35.4
22613,0.8,35.9
22633,0.8,30.2
22647,0.8,30.3
22691,0.8,32.8
22697,1.0,33.1
22706,1.0,30.6
22719,1.0,23.9
22736,1.0,20.1
22756,1.0,18.6
22793,1.0,19.2
22798,1.0,18.5
22809,1.0,17.6
22821,1.0,17.4
22873,1.0,18.2
22880,1.0,18.3
22903,1.0,19.7
22920,1.0,20.1
22933,1.0,19.7
22945,1.0,18.9
22959,1.0,16.6
22976,1.0,17.8
23045,1.0,23.6
23050,1.0,22.9
23067,1.0,19.4
23151,1.0,27.1
23161,1.0,25.8
23172,1.0,25.2
23183,1.0,25.0
23191,1.0,24.6
23214,1.0,25.5
23223,1.0,24.7
23243,1.0,19.8
23287,1.0,23.7
23294,1.0,22.7
23315,1.0,16.4
23348,1.0,18.7
23359,1.0,18.7
23371,1.0,18.8
23396,1.0,20.5
23408,1.0,19.4
23428,1.0,20.5
23435,1.0,19.2
23447,1.0,16.0
23459,1.0,16.5
23471,1.0,15.6
23479,1.0,13.1
23501,1.0,14.2
23510,1.0,13.9
23522,1.0,12.6
23567,1.0,15.9
23657,1.0,22.9
23671,1.0,23.6
23751,1.0,30.4
23851,0.9,39.2
23862,0.9,39.1
23875,0.9,39.6
23881,0.9,38.0
23894,0.9,38.4
23908,0.9,38.6
23989,0.9,42.2
24002,0.9,34.5
24045,0.9,37.4
24081,0.9,33.0
24170,1.0,31.9
24184,1.0,32.2
24193,1.0,31.8
24200,1.0,31.9
24249,1.0,35.5
24267,1.0,35.9
24280,1.0,29.1
24325,1.0,32.3
24364,1.0,31.9
24376,1.0,29.5
24409,1.0,23.9
24418,1.0,23.4
24419,0.8,22.6
24440,0.8,24.0
24445,0.8,19.6
24495,0.8,22.8
24513,0.8,23.3
24521,0.8,19.6
24526,0.8,16.2
24537,0.8,16.1
24544,0.8,13.5
24571,0.8,15.3
24578,1.0,15.9
24583,1.0,14.3
24589,1.0,14.4
24597,1.0,10.2
24605,1.0,9.2
24615,1.0,9.4
24646,1.0,12.0
24655,1.0,11.8
24660,1.0,11.6
24671,1.0,10.0
24716,1.0,13.8
24727,1.0,14.4
24736,1.0,14.7
24757,1.0,16.0
24767,1.0,16.2
24775,1.0,16.0
24785,1.0,13.9
24799,1.0,14.4
24818,1.0,15.8
24825,1.0,15.4
24903,1.0,18.7
24915,1.0,18.8
24926,1.0,19.0
24932,1.0,17.5
24940,0.8,17.3
24951,0.8,17.6
24960,0.8,17.5
24973,0.8,17.4
24982,0.8,16.4
24989,0.8,16.4
25003,0.8,10.0
25020,0.8,10.5
25052,0.8,12.6
25062,0.8,13.0
25080,1.0,14.0
25081,0.8,13.0
25101,0.8,14.1
25110,0.8,13.7
25116,0.8,13.4
25126,0.8,13.7
25134,0.8,13.1
25145,0.8,12.5
25162,0.8,11.0
25170,0.8,10.8
25193,0.8,11.3
25204,1.0,12.3
25222,1.0,12.1
25235,1.0,12.5
25241,1.0,12.5
25250,1.0,12.4
25257,1.0,12.3
25266,1.0,12.1
25288,1.0,12.6
25296,1.0,12.6
25396,0.9,20.3
25403,0.9,19.9
25420,0.9,19.8
25441,0.9,20.6
25449,0.9,20.8
25455,0.9,20.5
25467,0.9,21.0
25502,0.9,23.6
25512,0.9,22.4
25522,0.9,22.6
25529,1.0,13.3
25543,1.0,14.0
25554,1.0,13.4
25650,1.0,20.9
25656,1.0,20.7
25662,1.0,20.7
25669,1.0,20.2
25681,1.0,17.9
25696,1.0,18.4
25704,1.0,18.2
25717,1.0,18.8
25735,1.0,19.2
25747,1.0,19.3
25775,1.0,12.5
25792,1.0,13.6
25812,1.0,15.0
25819,1.0,15.0
25828,1.0,14.7
25880,1.0,18.4
25888,1.0,18.4
25901,1.0,18.4
25907,1.0,17.2
25918,1.0,17.1
25933,1.0,15.8
25943,1.0,15.1
25948,1.0,13.6
25955,1.0,13.6
25971,1.0,14.3
25982,1.0,10.2
25999,1.0,11.1
26011,1.0,11.0
26025,1.0,11.8
26031,1.0,11.3
26044,1.0,11.1
26060,1.0,11.7
26075,1.0,12.7
26086,1.0,13.1
26093,1.0,12.2
