timesteps,ep_rew_mean,ep_len_mean
278,-1.1914,27.8
378,-1.0737,31.6
430,-1.0737,36.6
530,-0.9561,46.5
550,-0.9634,48.0
650,-0.9707,57.7
652,-0.9707,48.3
744,-0.9707,55.8
745,-0.9707,49.3
759,-0.9634,49.1
780,-0.753,50.2
880,-0.7457,50.2
980,-0.628,55.0
1080,-0.6207,55.0
1083,-0.6134,53.3
1086,-0.6061,43.6
1087,-0.6061,43.5
1127,-0.6061,38.3
1201,-0.6134,45.6
1202,-0.6134,44.3
1216,-0.8311,43.6
1255,-0.9561,37.5
1312,-1.0811,33.2
1399,-1.2061,31.9
1400,-1.2061,31.7
1413,-1.2061,32.7
1415,-1.2061,32.8
1470,-0.9884,34.3
1524,-0.9884,32.3
1541,-0.9957,33.9
1542,-0.9884,32.6
1566,-0.7707,31.1
1656,-0.7634,34.4
1660,-0.7634,26.1
1666,-0.7634,26.6
1675,-0.7634,26.2
1678,-0.7634,26.3
1696,-0.9811,22.6
1796,-0.8561,27.2
1827,-0.8561,28.6
1838,-0.8561,29.6
1904,-1.0737,33.8
2004,-0.9561,34.8
2032,-0.9561,37.2
2034,-0.9561,36.8
2036,-0.9561,36.1
2136,-0.8457,45.8
2182,-0.8457,48.6
2194,-0.9634,39.8
2245,-0.9561,41.8
2275,-0.9561,43.7
2277,-0.9487,37.3
2280,-1.0664,27.6
2370,-1.0664,33.8
2415,-0.8414,38.1
2515,-0.7237,47.9
2528,-0.8341,39.2
2628,-0.7164,44.6
2661,-0.7164,46.7
2662,-0.7164,41.7
2762,-0.5987,48.7
2861,-0.5987,58.4
2866,-0.5987,58.6
2966,-0.4811,59.6
3066,-0.5884,65.1
3166,-0.5884,65.1
3258,-0.378,73.0
3314,-0.2854,68.6
3325,-0.2854,66.4
3363,-0.2854,70.1
3392,-0.403,63.0
3446,-0.403,58.5
3448,-0.403,58.2
3548,-0.3957,58.2
3578,-0.5207,51.2
3618,-0.6384,45.2
3640,-0.8487,38.2
3652,-1.0664,33.8
3752,-0.9487,42.7
3756,-0.9487,39.3
3761,-0.9487,36.9
3785,-0.9487,33.9
3839,-0.9487,39.1
3843,-1.0737,29.5
3943,-0.9487,36.5
4043,-0.8311,42.5
4061,-0.8311,42.1
4150,-0.5987,49.8
4178,-0.4914,42.6
4278,-0.3811,52.2
4308,-0.1561,54.7
4408,-0.0384,62.3
4508,0.0793,66.9
4607,0.2896,76.4
4654,0.3823,71.1
4697,0.2646,65.4
4767,0.475,70.6
4867,0.3677,71.7
4963,0.1427,78.5
4991,0.25,71.3
5091,0.1427,78.3
5162,0.025,75.4
5262,0.025,75.4
5296,-0.1927,68.9
5366,-0.403,71.2
5370,-0.403,67.3
5470,-0.503,70.3
5570,-0.503,70.3
5619,-0.503,65.6
5719,-0.603,72.8
5819,-0.603,72.8
5919,-0.4854,75.7
6019,-0.4854,75.7
6093,-0.253,79.7
6193,-0.1354,82.7
6293,-0.0177,92.3
6329,-0.128,85.9
6429,-0.1354,85.9
6529,-0.0177,91.0
6629,-0.0177,91.0
6706,0.0896,88.7
6739,0.197,82.0
6839,0.197,82.0
6939,0.0823,84.6
7039,0.0823,84.6
7139,0.0823,84.6
7217,0.075,88.8
7317,0.0823,88.8
7417,0.0823,88.8
7419,-0.0354,79.0
7519,-0.1427,81.3
7588,-0.375,84.9
7628,-0.4927,78.9
7635,-0.3927,69.6
7668,-0.5177,62.9
7768,-0.525,62.9
7842,-0.3073,62.5
7942,-0.3073,62.5
8042,-0.3073,62.5
8073,-0.097,65.4
8173,-0.097,65.4
8198,0.1207,61.0
8298,0.2457,67.0
8344,0.0354,70.9
8444,0.153,77.6
8544,0.1604,77.6
8644,0.0677,80.2
8692,0.1604,75.0
8739,0.0427,69.7
8780,0.0427,70.7
8781,-0.075,60.8
8881,-0.1677,68.3
8981,-0.175,68.3
9015,0.05,67.1
9115,0.1646,67.1
9215,0.1646,67.1
9279,0.2646,63.5
9284,0.0543,59.2
9299,0.0543,56.0
9300,-0.1561,52.0
9400,-0.0384,61.9
9468,-0.1634,58.7
9516,-0.2811,53.5
9616,-0.3884,60.1
9716,-0.4957,60.1
9741,-0.6134,52.6
9841,-0.7134,56.2
9941,-0.5957,65.7
10038,-0.3854,73.9
10124,-0.1604,82.4
10224,-0.1604,82.4
10322,0.0573,85.4
10326,0.0573,81.0
10426,0.0573,81.0
10526,0.0573,81.0
10626,0.1677,88.5
10710,0.275,86.9
10810,0.275,86.9
10910,0.1896,87.2
10924,0.175,80.0
10971,0.2823,74.7
11071,0.197,74.9
11096,0.4073,77.0
11196,0.4146,77.0
11296,0.4146,77.0
11372,0.5146,74.6
11472,0.4073,76.2
11503,0.5,69.3
11543,0.6,63.3
11643,0.5073,71.9
11655,0.5073,68.4
11755,0.5,68.4
11793,0.5146,69.7
11893,0.5073,69.7
11932,0.3896,63.6
11952,0.4043,58.0
11987,0.5116,51.5
12004,0.5263,50.1
12104,0.4189,56.1
12134,0.3013,49.1
12234,0.1939,57.9
12334,0.1939,57.9
12354,0.1939,56.1
12394,0.3013,50.1
12487,0.5116,55.5
12582,0.5116,63.0
12678,0.2866,69.1
12775,0.0616,77.1
12875,0.0616,77.1
12919,0.2866,78.5
12926,0.3793,69.2
13026,0.3793,69.2
13126,0.272,77.2
13137,0.272,74.3
13237,0.1793,75.0
13258,0.1793,67.6
13358,0.2896,68.0
13458,0.4073,68.3
13471,0.5,59.6
13515,0.5,59.6
13517,0.2896,59.1
13564,0.3823,53.8
13664,0.3823,53.8
13764,0.275,62.7
13864,0.275,62.7
13964,0.1677,70.6
13991,0.2677,63.3
14091,0.2677,63.3
14149,0.2677,67.8
14249,0.1604,73.4
14278,0.3707,76.1
14336,0.3854,77.2
14421,0.2677,75.7
14521,0.2677,75.7
14564,0.375,70.0
14565,0.2573,60.1
14665,0.1646,67.4
14697,0.2573,60.6
14708,0.272,55.9
14726,0.3646,47.7
14741,0.3793,46.3
14762,0.3793,42.6
14862,0.497,44.1
14925,0.6043,40.4
15025,0.497,46.1
15048,0.7073,48.3
15099,0.8146,43.4
15107,0.8146,41.0
15207,0.7073,49.9
15307,0.6146,58.1
15322,0.6,58.1
15422,0.4927,66.0
15522,0.4927,66.0
15622,0.3854,69.7
15634,0.478,60.9
15734,0.3854,68.6
15805,0.3707,70.6
15892,0.3854,78.5
15899,0.4927,69.2
15999,0.4927,69.2
16035,0.4927,71.3
16135,0.4927,71.3
16235,0.4927,71.3
16335,0.4927,71.3
16351,0.4927,71.7
16379,0.6,64.5
16479,0.5073,67.4
16490,0.4927,59.8
16542,0.478,64.3
16642,0.478,64.3
16742,0.3854,70.7
16842,0.3854,70.7
16875,0.478,64.0
16881,0.5854,54.6
16893,0.5854,54.2
16914,0.5707,53.5
17014,0.5707,53.5
17031,0.5854,54.1
17131,0.4927,58.9
17231,0.4927,58.9
17239,0.5854,49.7
17339,0.5854,49.7
17360,0.6,48.5
17372,0.6,49.1
17472,0.5073,57.9
17493,0.522,57.9
17509,0.6293,49.5
17609,0.522,57.8
17634,0.6293,50.3
17643,0.722,41.2
17655,0.722,41.6
17755,0.722,41.6
17821,0.722,46.1
17921,0.6146,54.9
18021,0.6146,54.9
18041,0.6146,54.8
18071,0.6,56.2
18080,0.7073,47.1
18180,0.6,54.6
18198,0.6146,55.5
18298,0.522,64.3
18323,0.6146,56.8
18330,0.6146,50.9
18430,0.6146,50.9
18454,0.722,43.3
18540,0.722,49.9
18640,0.6293,56.9
18661,0.6146,58.1
18761,0.6146,58.1
18771,0.6146,57.3
18783,0.722,48.5
18883,0.7293,56.0
18983,0.622,65.3
19083,0.622,65.3
19183,0.5146,72.9
19283,0.4073,74.3
19337,0.5146,69.7
19348,0.5293,68.7
19448,0.5293,68.7
19548,0.422,77.7
19561,0.197,77.8
19584,0.1896,70.1
19604,0.2823,62.1
19619,0.3896,53.6
19641,0.497,45.8
19659,0.6043,37.6
19709,0.3793,37.2
19809,0.272,46.1
19827,0.3793,37.9
19927,0.3793,37.9
19940,0.5896,37.9
20040,0.497,45.6
20046,0.497,44.2
20080,0.497,46.1
20097,0.4823,45.6
20102,0.4677,44.3
20111,0.6927,40.2
20184,0.7854,37.5
20194,0.7707,36.7
20209,0.878,28.2
20219,0.878,27.9
20278,0.9854,23.8
20378,0.8927,33.2
20394,0.8927,31.4
20432,0.9073,33.5
20532,0.8146,43.0
20546,0.8146,43.5
20646,0.722,46.2
20662,0.722,46.8
20741,0.7146,53.2
20752,0.7293,53.3
20852,0.622,57.4
20866,0.7146,48.8
20966,0.6073,57.2
20985,0.6073,55.3
21000,0.7,46.8
21009,0.6854,46.3
21026,0.7927,38.0
21074,0.5823,41.2
21174,0.4823,43.3
21274,0.375,52.2
21282,0.4823,43.0
21382,0.3896,51.6
21482,0.3896,51.6
21494,0.375,50.9
21510,0.3896,51.0
21522,0.3896,51.3
21622,0.2823,59.6
21722,0.4,64.8
21745,0.4927,57.1
21845,0.4927,57.1
21861,0.4927,57.9
21875,0.6,49.3
21895,0.7073,41.3
21903,0.7073,40.9
22003,0.6,49.3
22011,0.6,48.9
22023,0.7073,40.1
22123,0.7073,40.1
22223,0.6146,47.8
22234,0.722,38.9
22252,0.7073,39.1
22272,0.7073,39.7
22277,0.6927,38.2
22291,0.6927,38.8
22300,0.8,29.7
22310,0.8,29.9
22410,0.6927,38.7
22419,0.7854,29.6
22431,0.8927,20.8
22432,0.6677,19.8
22442,0.6823,19.0
22542,0.575,27.0
22552,0.575,27.5
22559,0.575,26.8
22572,0.5604,27.2
22601,0.575,29.1
22611,0.6823,20.1
22630,0.6823,21.1
22730,0.575,29.9
22830,0.6927,39.8
22838,0.678,39.6
22866,0.7707,32.4
22874,0.7707,32.2
22974,0.678,41.5
22986,0.6927,41.4
22996,0.6927,39.5
23001,0.678,39.0
23013,0.678,38.3
23020,0.7707,29.0
23027,0.878,19.7
23040,0.8927,20.2
23140,0.8,27.4
23147,0.8,27.3
23247,0.8,27.3
23259,0.8,27.3
23266,0.8,27.0
23276,0.8,27.5
23376,0.7073,36.3
23383,0.722,36.3
23393,0.7073,36.6
23414,0.7073,37.4
23514,0.7073,37.4
23614,0.6146,46.7
23680,0.497,43.3
23731,0.497,47.2
23753,0.497,48.7
23764,0.5116,48.8
23864,0.5116,48.8
23870,0.497,48.7
23880,0.5116,48.7
23980,0.4043,56.6
24038,0.5116,52.4
24052,0.6189,43.8
24066,0.8439,38.6
24084,0.8293,35.3
24184,0.722,43.1
24284,0.6146,52.0
24294,0.7073,43.0
24306,0.7073,43.6
24316,0.7073,43.6
24331,0.8,35.1
24341,0.8,30.3
24354,0.7854,30.2
24363,0.7854,29.7
24373,0.7854,28.9
24379,0.878,19.5
24394,0.9707,11.0
24401,0.9707,10.7
24402,0.7604,9.6
24415,0.7604,9.9
24432,0.7604,10.1
24532,0.653,19.1
24541,0.6677,18.7
24558,0.653,19.5
24565,0.6677,19.2
24571,0.6823,19.2
24583,0.697,18.9
24590,0.7116,18.9
24690,0.8293,28.8
24700,0.8293,28.5
24705,0.8293,27.3
24713,0.922,18.1
24813,0.8146,27.2
24820,0.8146,26.2
24897,0.8073,33.2
24997,0.7,42.6
25012,0.7,42.9
25021,0.7,43.1
25030,0.7927,34.0
25037,0.7927,33.7
25044,0.7927,33.9
25144,0.7,43.1
25155,0.8073,34.2
25255,0.7146,43.5
25355,0.6146,45.8
25373,0.7073,37.6
25473,0.6,46.1
25480,0.5854,45.9
25543,0.375,51.3
25557,0.375,52.0
25565,0.375,52.1
25665,0.375,52.1
25672,0.3604,51.7
25682,0.4677,42.7
25782,0.4677,42.7
25799,0.475,42.6
25811,0.5677,33.8
25819,0.5677,33.9
25919,0.6854,37.6
26019,0.578,46.2
26119,0.4854,55.4
26133,0.5927,46.8
26233,0.5,56.1
26333,0.3927,65.1
26344,0.5,56.2
26353,0.5073,55.4
26368,0.522,55.7
26468,0.4293,64.9
26474,0.5366,55.5
26481,0.6293,46.2
26486,0.722,36.7
26586,0.6146,45.3
26594,0.7073,36.1
26621,0.8146,28.8
26628,0.8146,28.4
26634,0.8,28.1
26644,0.7854,27.6
26650,0.8927,18.2
26750,0.7854,27.6
26765,0.7854,28.4
26785,0.8,29.9
26791,0.9073,20.5
26799,0.922,20.5
26805,0.9073,18.4
26815,0.8927,18.7
26827,0.9073,19.3
26833,0.922,18.9
26844,0.9073,19.4
26853,1.0,10.3
26859,1.0146,9.4
26875,1.0,9.0
26883,0.9854,9.2
26889,0.9854,9.0
26989,0.8927,18.4
27089,0.8,27.4
27095,0.7854,26.8
27195,0.678,36.2
27207,0.678,36.3
27214,0.678,36.1
27220,0.678,36.1
27230,0.678,35.5
27330,0.5854,44.7
27425,0.578,53.6
27431,0.6707,44.2
27440,0.7634,35.1
27540,0.6707,44.5
27551,0.778,35.6
27556,0.778,34.9
27563,0.778,34.9
27663,0.6707,44.3
27763,0.578,53.3
27771,0.6854,44.1
27778,0.6927,35.3
27784,0.6927,35.3
27795,0.7073,35.5
27800,0.8,26.0
27816,0.8,26.5
27916,0.7146,36.0
27928,0.7293,36.5
28028,0.7293,36.5
28039,0.822,27.6
28046,0.822,27.5
28098,0.8146,32.0
28107,0.8293,32.3
28121,0.8293,32.6
28190,0.8366,39.0
28199,0.8366,38.3
28205,0.9366,28.9
28215,0.9366,28.7
28223,1.0439,19.5
28323,0.9513,28.4
28423,0.8439,37.7
28429,0.8366,33.1
28436,0.8366,32.9
28443,0.822,32.2
28475,0.822,28.5
28485,0.822,28.6
28494,0.8073,28.9
28504,0.8073,28.9
28604,0.7,38.1
28704,0.7,38.1
28711,0.8073,28.8
28718,0.8073,28.9
28730,0.8073,29.4
28741,0.822,29.8
28751,0.8293,27.6
28851,0.722,36.6
28871,0.7366,37.7
28876,0.722,37.2
28970,0.6043,36.6
28978,0.7116,27.4
28988,0.7116,27.7
28997,0.7116,27.9
29002,0.697,27.2
29009,0.6823,26.8
29018,0.6677,26.7
29038,0.775,18.7
29073,0.7677,20.2
29085,0.7823,20.9
29097,1.0073,12.7
29117,0.9927,13.9
29124,0.978,13.6
29133,0.978,13.6
29233,0.8854,23.1
29241,0.9,23.2
29341,0.8073,32.3
29348,0.8073,31.0
29397,0.8073,32.4
29407,0.7927,32.2
29507,0.6854,41.0
29521,0.7,40.4
29621,0.6073,49.7
29690,0.6146,55.7
29721,0.7146,48.8
29728,0.7146,48.7
29828,0.7146,48.7
29836,0.7146,48.8
29890,0.7146,49.3
29897,0.7293,49.0
29911,0.822,40.4
29923,0.822,40.2
29930,0.9293,30.9
29939,0.9366,24.9
29945,0.9293,22.4
29954,0.9146,22.6
29960,1.022,13.2
29971,1.0073,13.5
29978,1.0,8.8
30078,0.8927,18.1
30087,0.9,17.6
30138,0.8927,21.5
30145,0.878,21.5
30219,0.8707,28.0
30225,0.8707,28.0
30232,0.8854,27.8
30331,0.878,37.1
30336,0.878,36.5
30353,0.8927,37.5
30395,0.9927,31.7
30403,0.9854,31.6
30497,0.7677,35.9
30502,0.7677,35.7
30509,0.775,29.0
30516,0.7896,29.1
30524,0.7896,29.2
30624,0.6896,29.3
30668,0.697,33.2
30690,0.6823,33.7
30699,0.675,30.4
30705,0.675,30.2
30756,0.8927,25.9
30764,0.9,26.2
30771,0.9,26.2
30793,0.8927,27.7
30799,0.8927,27.5
30805,0.9854,18.1
30816,0.9854,14.8
30821,0.9854,13.1
30830,1.0,13.1
30837,1.0146,13.2
30859,1.0146,10.3
30872,1.022,10.8
30890,1.0073,11.9
30900,1.0146,10.7
30905,1.0,10.6
30992,1.0073,18.7
30997,1.0,18.1
31097,0.9146,27.6
31146,0.9073,31.6
31154,0.8927,31.7
31160,0.9,30.1
31202,0.8927,33.0
31210,0.9073,32.0
31310,0.8,41.0
31316,0.8,41.1
31354,0.8,36.2
31366,0.8073,36.9
31377,0.9073,28.0
31387,0.9146,24.1
31392,0.9146,23.8
31393,0.6896,23.3
31400,0.6823,19.8
31447,0.675,23.7
31547,0.6823,23.7
31557,0.6896,24.1
31564,0.697,21.0
31570,0.7043,20.4
31577,0.7043,20.0
31586,0.7043,19.9
31593,0.7043,20.1
31601,0.9146,20.8
31701,0.822,30.1
31767,0.822,32.0
31867,0.8146,32.0
31875,0.8073,31.8
31888,0.8,32.4
31988,0.7,41.8
32060,0.6927,48.3
32066,0.6927,48.0
32103,0.7,51.0
32167,0.7073,56.6
32202,0.8073,50.1
32299,0.8073,53.2
32313,0.6896,44.6
32358,0.4793,48.3
32365,0.4866,47.7
32372,0.572,38.4
32377,0.5646,31.7
32383,0.5646,31.7
32412,0.5646,30.9
32433,0.572,26.6
32443,0.572,24.1
32490,0.5646,19.1
32574,0.7823,26.1
32620,1.0,26.2
32720,0.8927,35.5
32725,0.8927,35.3
