timesteps,ep_rew_mean,ep_len_mean
6400,0.0,640.0
7040,0.0,640.0
7680,0.0,640.0
8320,0.0,640.0
8960,0.0,640.0
9600,0.0,640.0
10240,0.0,640.0
10880,0.0,640.0
11520,0.0,640.0
12160,0.0,640.0
12800,0.0,640.0
13440,0.0,640.0
14080,0.0,640.0
14720,0.0,640.0
15360,0.0,640.0
16000,0.0,640.0
16640,0.0,640.0
17280,0.0,640.0
17920,0.0,640.0
18560,0.0,640.0
19200,0.0,640.0
19840,0.0,640.0
20480,0.0,640.0
21120,0.0,640.0
21760,0.0,640.0
22400,0.0,640.0
23040,0.0,640.0
23680,0.0,640.0
24320,0.0,640.0
24960,0.0,640.0
25600,0.0,640.0
26240,0.0,640.0
26880,0.0,640.0
27520,0.0,640.0
28160,0.0,640.0
28800,0.0,640.0
29440,0.0,640.0
30080,0.0,640.0
30720,0.0,640.0
31360,0.0,640.0
32000,0.0,640.0
32640,0.0,640.0
33280,0.0,640.0
33920,0.0,640.0
34560,0.0,640.0
35200,0.0,640.0
35840,0.0,640.0
36480,0.0,640.0
37120,0.0,640.0
37760,0.0,640.0
38400,0.0,640.0
39040,0.0,640.0
39680,0.0,640.0
40320,0.0,640.0
40960,0.0,640.0
41600,0.0,640.0
42240,0.0,640.0
42880,0.0,640.0
43520,0.0,640.0
44160,0.0,640.0
44800,0.0,640.0
45440,0.0,640.0
46080,0.0,640.0
46720,0.0,640.0
47360,0.0,640.0
48000,0.0,640.0
48640,0.0,640.0
49280,0.0,640.0
49920,0.0,640.0
50560,0.0,640.0
51200,0.0,640.0
51840,0.0,640.0
52480,0.0,640.0
53120,0.0,640.0
53760,0.0,640.0
54400,0.0,640.0
55040,0.0,640.0
55680,0.0,640.0
56320,0.0,640.0
56960,0.0,640.0
57600,0.0,640.0
58240,0.0,640.0
58880,0.0,640.0
59520,0.0,640.0
60160,0.0,640.0
60800,0.0,640.0
61440,0.0,640.0
62080,0.0,640.0
62720,0.0,640.0
63360,0.0,640.0
64000,0.0,640.0
64640,0.0,640.0
65280,0.0,640.0
65920,0.0,640.0
66560,0.0,640.0
67200,0.0,640.0
67840,0.0,640.0
68480,0.0,640.0
69120,0.0,640.0
69760,0.0,640.0
70400,0.0,640.0
71040,0.0,640.0
71680,0.0,640.0
72320,0.0,640.0
72960,0.0,640.0
73600,0.0,640.0
74240,0.0,640.0
74880,0.0,640.0
75520,0.0,640.0
76160,0.0,640.0
76800,0.0,640.0
77440,0.0,640.0
78080,0.0,640.0
78720,0.0,640.0
79360,0.0,640.0
80000,0.0,640.0
80640,0.0,640.0
81280,0.0,640.0
81920,0.0,640.0
82560,0.0,640.0
83200,0.0,640.0
83840,0.0,640.0
84480,0.0,640.0
85120,0.0,640.0
85760,0.0,640.0
86400,0.0,640.0
87040,0.0,640.0
87680,0.0,640.0
88320,0.0,640.0
88960,0.0,640.0
89600,0.0,640.0
90240,0.0,640.0
90880,0.0,640.0
91520,0.0,640.0
92160,0.0,640.0
92800,0.0,640.0
93440,0.0,640.0
94080,0.0,640.0
94720,0.0,640.0
94782,0.0913,582.2
95422,0.0913,582.2
96062,0.0913,582.2
96702,0.0913,582.2
97342,0.0913,582.2
97982,0.0913,582.2
98622,0.0913,582.2
99262,0.0913,582.2
99902,0.0913,582.2
