timesteps,ep_rew_mean,ep_len_mean
2411,0.0724,241.1
2667,0.0724,241.1
2923,0.0501,244.6
3179,0.0501,244.6
3435,0.0,256.0
3607,0.0395,247.6
3745,0.091,235.8
4001,0.091,235.8
4257,0.091,235.8
4352,0.1576,219.7
4608,0.1576,219.7
4813,0.1855,214.6
5069,0.1855,214.6
5248,0.2226,206.9
5504,0.2226,206.9
5750,0.1966,214.3
5987,0.1618,224.2
6243,0.1618,224.2
6329,0.2316,207.2
6523,0.1968,217.1
6742,0.2198,213.4
6997,0.2022,218.4
7186,0.2357,211.7
7442,0.1987,219.4
7498,0.279,199.4
7594,0.3317,184.4
7807,0.3402,182.0
7921,0.4001,167.8
8066,0.3793,173.7
8322,0.3475,179.9
8427,0.3876,168.5
8516,0.446,151.9
8600,0.4829,141.4
8776,0.521,133.4
8879,0.5045,138.1
9034,0.4837,144.0
9186,0.5052,137.9
9402,0.4693,148.1
9510,0.4823,144.4
9701,0.5152,137.9
9741,0.538,131.4
9802,0.5479,128.6
9874,0.5521,127.4
9949,0.5876,117.3
10114,0.5658,123.5
10235,0.5778,120.1
10311,0.6045,112.5
10444,0.6337,104.2
10506,0.6498,99.6
10588,0.6882,88.7
10652,0.6797,91.1
10709,0.6811,90.7
10846,0.6583,97.2
10975,0.6393,102.6
11102,0.6527,98.8
11183,0.6667,94.8
11220,0.6804,90.9
11360,0.678,91.6
11422,0.678,91.6
11626,0.6351,103.8
11661,0.6453,100.9
11695,0.6534,98.6
11759,0.679,91.3
11872,0.6846,89.7
11951,0.7015,84.9
11989,0.7166,80.6
12030,0.7152,81.0
12131,0.7289,77.1
12212,0.7223,79.0
12266,0.775,64.0
12341,0.7609,68.0
12383,0.7581,68.8
12439,0.7609,68.0
12476,0.7877,60.4
12527,0.7975,57.6
12566,0.7971,57.7
12626,0.7905,59.6
12691,0.8031,56.0
12728,0.8186,51.6
12755,0.8281,48.9
12782,0.845,44.1
12830,0.8429,44.7
12879,0.8453,44.0
12905,0.8492,42.9
12964,0.8464,43.7
13025,0.8386,45.9
13045,0.8527,41.9
13119,0.8495,42.8
13176,0.8425,44.8
13260,0.8225,50.5
13335,0.8056,55.3
13372,0.8095,54.2
13394,0.8189,51.5
13432,0.8147,52.7
13505,0.8098,54.1
13560,0.8119,53.5
13600,0.8049,55.5
13677,0.8038,55.8
13701,0.8154,52.5
13756,0.8256,49.6
13808,0.8337,47.3
13861,0.8281,48.9
13895,0.8239,50.1
13938,0.8221,50.6
14012,0.8218,50.7
14063,0.8232,50.3
14234,0.7771,63.4
14254,0.7971,57.7
14308,0.7866,60.7
14352,0.7905,59.6
14387,0.7964,57.9
14422,0.8028,56.1
14448,0.8056,55.3
14485,0.8077,54.7
14507,0.826,49.5
14537,0.8334,47.4
14569,0.8822,33.5
14605,0.8766,35.1
14641,0.8829,33.3
14676,0.8861,32.4
14715,0.8847,32.8
14737,0.8893,31.5
14761,0.89,31.3
14796,0.8907,31.1
14841,0.8826,33.4
14870,0.8829,33.3
14901,0.8833,33.2
14921,0.8889,31.6
14948,0.8921,30.7
15021,0.8787,34.5
15044,0.8843,32.9
15105,0.8706,36.8
15123,0.8727,36.2
15151,0.8752,35.5
15191,0.877,35.0
15231,0.8731,36.1
15271,0.8699,37.0
15300,0.8668,37.9
15343,0.8611,39.5
15368,0.878,34.7
15397,0.8759,35.3
15428,0.8864,32.3
15450,0.885,32.7
15494,0.8794,34.3
15520,0.8843,32.9
15547,0.8889,31.6
15610,0.8808,33.9
15668,0.8706,36.8
15717,0.8685,37.4
15770,0.8587,40.2
15825,0.8495,42.8
15868,0.8453,44.0
15914,0.8369,46.4
15970,0.8327,47.6
16048,0.8144,52.8
16098,0.8063,55.1
16151,0.8098,54.1
16172,0.8228,50.4
16197,0.8313,48.0
16238,0.8355,46.8
16265,0.8453,44.0
16322,0.8404,45.4
16355,0.845,44.1
16393,0.8513,42.3
16421,0.8689,37.3
16444,0.8784,34.6
16476,0.8857,32.5
16512,0.8805,34.0
16542,0.8787,34.5
16582,0.8791,34.4
16608,0.8794,34.3
16677,0.8752,35.5
16707,0.8762,35.2
16740,0.878,34.7
16770,0.8773,34.9
16791,0.878,34.7
16837,0.8731,36.1
16864,0.8762,35.2
16893,0.8766,35.1
16919,0.8815,33.7
16937,0.8843,32.9
16959,0.9009,28.2
16988,0.9012,28.1
17007,0.9061,26.7
17032,0.9079,26.2
