timesteps,ep_rew_mean,ep_len_mean
482,0.0,48.2
493,0.0,49.1
496,0.0,39.4
539,0.0,35.9
543,0.0,34.7
619,0.0,39.2
639,0.0,35.2
646,0.0,33.0
647,0.0,32.9
695,0.0,29.1
795,0.0,31.3
847,0.0532,35.4
849,0.0532,35.3
915,0.0532,37.6
988,0.0875,44.5
1001,0.0875,38.2
1023,0.0875,38.4
1054,0.0875,40.8
1055,0.0875,40.8
1074,0.0875,37.9
1084,0.0875,28.9
1086,0.0343,23.9
1186,0.0443,33.7
1257,0.0443,34.2
1279,0.01,29.1
1334,0.01,33.3
1358,0.01,33.5
1384,0.0866,33.0
1448,0.0866,39.3
1514,0.0866,44.0
1600,0.0866,51.6
1601,0.0866,51.5
1671,0.0766,48.5
1730,0.1235,47.3
1798,0.1623,51.9
1832,0.1623,49.8
1892,0.1623,53.4
1992,0.0857,60.8
2032,0.0857,58.4
2062,0.0857,54.8
2065,0.0857,46.5
2090,0.1632,48.9
2106,0.2488,43.5
2144,0.2019,41.4
2145,0.1631,34.7
2147,0.1631,31.5
2211,0.2055,31.9
2215,0.2055,22.3
2232,0.2055,20.0
2234,0.2055,17.2
2235,0.2055,17.0
2236,0.128,14.6
2237,0.0424,13.1
2238,0.0424,9.4
2329,0.0424,18.4
2332,0.0424,18.5
2390,0.0478,17.9
2391,0.0478,17.6
2392,0.0478,16.0
2397,0.0478,16.3
2483,0.0478,24.8
2530,0.1055,29.4
2630,0.1055,39.3
2669,0.1055,43.1
2673,0.1055,34.4
2676,0.1055,34.4
2677,0.0577,28.7
2721,0.1181,33.0
2728,0.1181,33.6
2740,0.1181,34.3
2742,0.1181,25.9
2788,0.0604,25.8
2791,0.0604,16.1
2831,0.1244,16.2
2832,0.1244,15.9
2840,0.1244,16.4
2866,0.201,18.9
2932,0.1406,21.1
2935,0.1406,20.7
2936,0.1406,19.6
2937,0.1406,19.5
2962,0.1406,17.4
2964,0.1406,17.3
2973,0.0766,14.2
2990,0.1613,15.8
3008,0.1613,16.8
3046,0.1505,18.0
3064,0.1505,13.2
3068,0.1505,13.3
3069,0.1505,13.3
3071,0.1505,13.4
3171,0.1505,20.9
3172,0.1505,20.8
3197,0.228,22.4
3201,0.1433,21.1
3203,0.1433,19.5
3206,0.0775,16.0
3213,0.1712,14.9
3313,0.1712,24.5
3326,0.2595,25.7
3327,0.2595,25.6
3348,0.3406,17.7
3415,0.3803,24.3
3454,0.3028,25.7
3456,0.3028,25.5
3494,0.3028,29.1
3495,0.3028,28.9
3503,0.2091,29.0
3603,0.2091,29.0
3604,0.1208,27.8
3605,0.1208,27.8
3705,0.0397,35.7
3805,0.0,39.0
3818,0.0883,36.4
3832,0.0883,37.6
3833,0.0883,33.9
3834,0.0883,33.9
3934,0.0883,43.1
3938,0.0883,33.5
3986,0.0883,38.2
4000,0.1757,39.5
4045,0.1757,34.0
4054,0.1757,24.9
4075,0.1685,25.7
4078,0.1685,24.6
4079,0.1685,24.6
4094,0.1685,26.0
4099,0.1685,16.5
4101,0.1685,16.3
4115,0.2559,12.9
4116,0.1685,11.6
4122,0.1685,7.7
4127,0.1685,7.3
4175,0.1442,10.0
4202,0.2199,12.4
4215,0.2199,13.6
4229,0.3073,13.5
4261,0.3073,16.2
4262,0.3073,16.1
4299,0.2199,18.4
4302,0.2199,18.6
4303,0.2199,18.1
4309,0.3145,18.2
4310,0.2577,13.5
4311,0.182,10.9
4312,0.182,9.7
4313,0.0946,8.4
4332,0.1775,7.1
4333,0.1775,7.1
4334,0.1775,3.5
4335,0.1775,3.3
4361,0.2541,5.8
4380,0.2424,7.1
4388,0.2424,7.8
4407,0.2424,9.6
4409,0.2424,9.7
4417,0.2424,10.4
4479,0.2037,14.7
4565,0.2037,23.2
4568,0.2037,23.4
4572,0.2037,23.7
4574,0.1271,21.3
