env,method,run,sat_rate
Empty-8x8,Baseline,1,1.0
Empty-8x8,Baseline,2,1.0
Empty-8x8,Baseline,3,1.0
Empty-8x8,Baseline,4,1.0
Empty-8x8,Baseline,5,0.0
Empty-8x8,Baseline,6,1.0
Empty-8x8,Baseline,7,1.0
Empty-8x8,Baseline,8,1.0
Empty-8x8,Baseline,9,1.0
Empty-8x8,Baseline,10,1.0
Empty-8x8,Baseline,11,1.0
Empty-8x8,Baseline,12,1.0
Empty-8x8,Baseline,13,1.0
Empty-8x8,Baseline,14,1.0
Empty-8x8,Baseline,15,0.87
Empty-8x8,Baseline,16,1.0
Empty-8x8,Baseline,17,1.0
Empty-8x8,Baseline,18,1.0
Empty-8x8,Baseline,19,1.0
Empty-8x8,Baseline,20,1.0
Empty-8x8,Baseline,21,1.0
Empty-8x8,Baseline,22,1.0
Empty-8x8,Baseline,23,1.0
Empty-8x8,Baseline,24,0.03
Empty-8x8,Baseline,25,1.0
Empty-8x8,Baseline,26,1.0
Empty-8x8,Baseline,27,1.0
Empty-8x8,Baseline,28,1.0
Empty-8x8,Baseline,29,1.0
Empty-8x8,Baseline,30,1.0
LavaGap-S5,Baseline,1,0.61
LavaGap-S5,Baseline,2,1.0
LavaGap-S5,Baseline,3,1.0
LavaGap-S5,Baseline,4,0.94
LavaGap-S5,Baseline,5,1.0
LavaGap-S5,Baseline,6,0.36
LavaGap-S5,Baseline,7,1.0
LavaGap-S5,Baseline,8,1.0
LavaGap-S5,Baseline,9,0.95
LavaGap-S5,Baseline,10,1.0
LavaGap-S5,Baseline,11,0.69
LavaGap-S5,Baseline,12,0.99
LavaGap-S5,Baseline,13,0.95
LavaGap-S5,Baseline,14,1.0
LavaGap-S5,Baseline,15,0.97
LavaGap-S5,Baseline,16,1.0
LavaGap-S5,Baseline,17,0.75
LavaGap-S5,Baseline,18,1.0
LavaGap-S5,Baseline,19,1.0
LavaGap-S5,Baseline,20,0.99
LavaGap-S5,Baseline,21,1.0
LavaGap-S5,Baseline,22,0.99
LavaGap-S5,Baseline,23,1.0
LavaGap-S5,Baseline,24,0.99
LavaGap-S5,Baseline,25,1.0
LavaGap-S5,Baseline,26,1.0
LavaGap-S5,Baseline,27,1.0
LavaGap-S5,Baseline,28,1.0
LavaGap-S5,Baseline,29,1.0
LavaGap-S5,Baseline,30,1.0
DoorKey-8x8,Baseline,1,0.0
DoorKey-8x8,Baseline,2,0.08
DoorKey-8x8,Baseline,3,0.07
DoorKey-8x8,Baseline,4,0.0
DoorKey-8x8,Baseline,5,0.01
DoorKey-8x8,Baseline,6,0.0
DoorKey-8x8,Baseline,7,0.0
DoorKey-8x8,Baseline,8,0.01
DoorKey-8x8,Baseline,9,0.01
DoorKey-8x8,Baseline,10,0.0
DoorKey-8x8,Baseline,11,0.12
DoorKey-8x8,Baseline,12,0.01
DoorKey-8x8,Baseline,13,0.0
DoorKey-8x8,Baseline,14,0.0
DoorKey-8x8,Baseline,15,0.0
DoorKey-8x8,Baseline,16,0.0
DoorKey-8x8,Baseline,17,0.05
DoorKey-8x8,Baseline,18,0.0
DoorKey-8x8,Baseline,19,0.07
DoorKey-8x8,Baseline,20,0.0
DoorKey-8x8,Baseline,21,0.0
DoorKey-8x8,Baseline,22,0.0
DoorKey-8x8,Baseline,23,0.0
DoorKey-8x8,Baseline,24,0.0
DoorKey-8x8,Baseline,25,0.0
DoorKey-8x8,Baseline,26,0.0
DoorKey-8x8,Baseline,27,0.13
DoorKey-8x8,Baseline,28,0.01
DoorKey-8x8,Baseline,29,0.0
DoorKey-8x8,Baseline,30,0.0
Empty-8x8,LTL,1,1.0
Empty-8x8,LTL,2,1.0
Empty-8x8,LTL,3,1.0
Empty-8x8,LTL,4,1.0
Empty-8x8,LTL,5,1.0
Empty-8x8,LTL,6,1.0
Empty-8x8,LTL,7,1.0
Empty-8x8,LTL,8,1.0
Empty-8x8,LTL,9,1.0
Empty-8x8,LTL,10,1.0
Empty-8x8,LTL,11,0.98
Empty-8x8,LTL,12,1.0
Empty-8x8,LTL,13,1.0
Empty-8x8,LTL,14,1.0
Empty-8x8,LTL,15,0.95
Empty-8x8,LTL,16,1.0
Empty-8x8,LTL,17,1.0
Empty-8x8,LTL,18,1.0
Empty-8x8,LTL,19,1.0
Empty-8x8,LTL,20,1.0
Empty-8x8,LTL,21,1.0
Empty-8x8,LTL,22,1.0
Empty-8x8,LTL,23,1.0
Empty-8x8,LTL,24,1.0
Empty-8x8,LTL,25,1.0
Empty-8x8,LTL,26,1.0
Empty-8x8,LTL,27,1.0
Empty-8x8,LTL,28,1.0
Empty-8x8,LTL,29,1.0
Empty-8x8,LTL,30,1.0
LavaGap-S5,LTL,1,0.99
LavaGap-S5,LTL,2,0.91
LavaGap-S5,LTL,3,1.0
LavaGap-S5,LTL,4,1.0
LavaGap-S5,LTL,5,1.0
LavaGap-S5,LTL,6,1.0
LavaGap-S5,LTL,7,1.0
LavaGap-S5,LTL,8,1.0
LavaGap-S5,LTL,9,1.0
LavaGap-S5,LTL,10,0.58
LavaGap-S5,LTL,11,0.99
LavaGap-S5,LTL,12,0.75
LavaGap-S5,LTL,13,0.79
LavaGap-S5,LTL,14,1.0
LavaGap-S5,LTL,15,0.63
LavaGap-S5,LTL,16,0.99
LavaGap-S5,LTL,17,1.0
LavaGap-S5,LTL,18,0.98
LavaGap-S5,LTL,19,1.0
LavaGap-S5,LTL,20,1.0
LavaGap-S5,LTL,21,0.98
LavaGap-S5,LTL,22,1.0
LavaGap-S5,LTL,23,0.88
LavaGap-S5,LTL,24,1.0
LavaGap-S5,LTL,25,1.0
LavaGap-S5,LTL,26,0.69
LavaGap-S5,LTL,27,1.0
LavaGap-S5,LTL,28,0.96
LavaGap-S5,LTL,29,0.77
LavaGap-S5,LTL,30,1.0
DoorKey-8x8,LTL,1,0.16
DoorKey-8x8,LTL,2,0.02
DoorKey-8x8,LTL,3,0.03
DoorKey-8x8,LTL,4,0.08
DoorKey-8x8,LTL,5,0.18
DoorKey-8x8,LTL,6,0.02
DoorKey-8x8,LTL,7,0.11
DoorKey-8x8,LTL,8,0.11
DoorKey-8x8,LTL,9,0.09
DoorKey-8x8,LTL,10,0.11
DoorKey-8x8,LTL,11,0.06
DoorKey-8x8,LTL,12,0.01
DoorKey-8x8,LTL,13,0.03
DoorKey-8x8,LTL,14,0.09
DoorKey-8x8,LTL,15,0.12
DoorKey-8x8,LTL,16,0.07
DoorKey-8x8,LTL,17,0.04
DoorKey-8x8,LTL,18,0.16
DoorKey-8x8,LTL,19,0.01
DoorKey-8x8,LTL,20,0.17
DoorKey-8x8,LTL,21,0.04
DoorKey-8x8,LTL,22,0.03
DoorKey-8x8,LTL,23,0.02
DoorKey-8x8,LTL,24,0.14
DoorKey-8x8,LTL,25,0.07
DoorKey-8x8,LTL,26,0.0
DoorKey-8x8,LTL,27,0.02
DoorKey-8x8,LTL,28,0.21
DoorKey-8x8,LTL,29,0.01
DoorKey-8x8,LTL,30,0.02
Empty-8x8,TLTL,1,1.0
Empty-8x8,TLTL,2,1.0
Empty-8x8,TLTL,3,1.0
Empty-8x8,TLTL,4,1.0
Empty-8x8,TLTL,5,1.0
Empty-8x8,TLTL,6,1.0
Empty-8x8,TLTL,7,1.0
Empty-8x8,TLTL,8,1.0
Empty-8x8,TLTL,9,1.0
Empty-8x8,TLTL,10,1.0
Empty-8x8,TLTL,11,1.0
Empty-8x8,TLTL,12,1.0
Empty-8x8,TLTL,13,1.0
Empty-8x8,TLTL,14,1.0
Empty-8x8,TLTL,15,1.0
Empty-8x8,TLTL,16,1.0
Empty-8x8,TLTL,17,1.0
Empty-8x8,TLTL,18,1.0
Empty-8x8,TLTL,19,0.15
Empty-8x8,TLTL,20,1.0
Empty-8x8,TLTL,21,1.0
Empty-8x8,TLTL,22,1.0
Empty-8x8,TLTL,23,1.0
Empty-8x8,TLTL,24,0.97
Empty-8x8,TLTL,25,1.0
Empty-8x8,TLTL,26,1.0
Empty-8x8,TLTL,27,1.0
Empty-8x8,TLTL,28,1.0
Empty-8x8,TLTL,29,1.0
Empty-8x8,TLTL,30,1.0
LavaGap-S5,TLTL,1,1.0
LavaGap-S5,TLTL,2,1.0
LavaGap-S5,TLTL,3,0.81
LavaGap-S5,TLTL,4,0.99
LavaGap-S5,TLTL,5,1.0
LavaGap-S5,TLTL,6,0.98
LavaGap-S5,TLTL,7,1.0
LavaGap-S5,TLTL,8,0.99
LavaGap-S5,TLTL,9,1.0
LavaGap-S5,TLTL,10,0.98
LavaGap-S5,TLTL,11,1.0
LavaGap-S5,TLTL,12,1.0
LavaGap-S5,TLTL,13,0.99
LavaGap-S5,TLTL,14,1.0
LavaGap-S5,TLTL,15,0.9
LavaGap-S5,TLTL,16,1.0
LavaGap-S5,TLTL,17,1.0
LavaGap-S5,TLTL,18,1.0
LavaGap-S5,TLTL,19,1.0
LavaGap-S5,TLTL,20,1.0
LavaGap-S5,TLTL,21,1.0
LavaGap-S5,TLTL,22,1.0
LavaGap-S5,TLTL,23,1.0
LavaGap-S5,TLTL,24,1.0
LavaGap-S5,TLTL,25,0.76
LavaGap-S5,TLTL,26,1.0
LavaGap-S5,TLTL,27,0.56
LavaGap-S5,TLTL,28,0.87
LavaGap-S5,TLTL,29,1.0
LavaGap-S5,TLTL,30,1.0
DoorKey-8x8,TLTL,1,1.0
DoorKey-8x8,TLTL,2,1.0
DoorKey-8x8,TLTL,3,1.0
DoorKey-8x8,TLTL,4,1.0
DoorKey-8x8,TLTL,5,1.0
DoorKey-8x8,TLTL,6,0.98
DoorKey-8x8,TLTL,7,0.49
DoorKey-8x8,TLTL,8,1.0
DoorKey-8x8,TLTL,9,0.99
DoorKey-8x8,TLTL,10,0.99
DoorKey-8x8,TLTL,11,0.99
DoorKey-8x8,TLTL,12,1.0
DoorKey-8x8,TLTL,13,1.0
DoorKey-8x8,TLTL,14,1.0
DoorKey-8x8,TLTL,15,1.0
DoorKey-8x8,TLTL,16,0.99
DoorKey-8x8,TLTL,17,1.0
DoorKey-8x8,TLTL,18,1.0
DoorKey-8x8,TLTL,19,1.0
DoorKey-8x8,TLTL,20,1.0
DoorKey-8x8,TLTL,21,1.0
DoorKey-8x8,TLTL,22,1.0
DoorKey-8x8,TLTL,23,1.0
DoorKey-8x8,TLTL,24,1.0
DoorKey-8x8,TLTL,25,0.99
DoorKey-8x8,TLTL,26,1.0
DoorKey-8x8,TLTL,27,1.0
DoorKey-8x8,TLTL,28,1.0
DoorKey-8x8,TLTL,29,0.86
DoorKey-8x8,TLTL,30,1.0
